id,created_at,text,likes,in reply to,retweeted
1392185351062671368,2021-05-11 18:30:27+00:00,My work with the @GirlScouts has always been so rewarding for me—and I absolutely loved speaking with some of the i… https://t.co/Ru205slsKy,5782,,False
1391891703326445571,2021-05-10 23:03:36+00:00,RT @PHAnews: Today former First Lady @MichelleObama announced the first two partner cities in our Pass the Love w/ #WafflesAndMochi campaig…,0,,False
1391849222203379720,2021-05-10 20:14:48+00:00,"I just loved this story of Tani Adewumi, a 10-year-old Nigerian refugee who’s already a chess master! He’s a remind… https://t.co/5QbOE3VIaN",9209,,False
1391807908913025026,2021-05-10 17:30:38+00:00,I'm so excited to announce our first partner cities—Atlanta and Cleveland—for our Pass the Love campaign with… https://t.co/OTkxTtrX4H,4313,,False
1391423585173086211,2021-05-09 16:03:28+00:00,I hope you take today to let all the mother figures in your life know how much you love them. I know I wouldn't be… https://t.co/v1exl1hmIA,43012,,False
1391120337115525124,2021-05-08 19:58:28+00:00,This afternoon was a difficult one for our family. We said goodbye to our best friend—Bo—after a battle with cancer… https://t.co/EklqA2JmHq,231494,,False
1390652777412632581,2021-05-07 13:00:33+00:00,I love these #MothersDay cards drawn by students in the @GirlsAlliance community. Send one to your mom to thank her… https://t.co/6eoikjO5Wf,6152,,False
1389942922561343490,2021-05-05 13:59:51+00:00,"RT @GMA: Former first lady @MichelleObama is teaming up with the @girlscouts to create a “Becoming Me” program, based on her bestselling bo…",0,,False
1388596490847784963,2021-05-01 20:49:36+00:00,Keep up the great work! This is only the beginning of your journey. #CollegeSigningDay 🎓 https://t.co/ithyw4SPDG,5601,,False
1388575948497465346,2021-05-01 19:27:59+00:00,"I’m so proud of you, Shamia! 👏🏾👏🏾👏🏾 https://t.co/TKxiAGtt3D",5964,,False
1388566917452021761,2021-05-01 18:52:06+00:00,"Congrats, Burabari! #BetterMakeRoom 🎉 https://t.co/0379TYPygt",4040,,False
1388565961410809860,2021-05-01 18:48:18+00:00,RT @KELLYROWLAND: I’m so honored to be back at #CollegeSigningDay with @MichelleObama this year! Join us in celebrating the class of 2021 a…,0,,False
1388556014564298755,2021-05-01 18:08:46+00:00,"RT @OCSArts: Today we’re celebrating #CollegeSigningDay with @BetterMakeRoom and @MichelleObama! Congrats to the OCSA class of 2021, you di…",0,,False
1388555853167476737,2021-05-01 18:08:08+00:00,"RT @ConanOBrien: Wishing all the students out there a happy #CollegeSigningDay. For tips on financial aid and college support, follow @Bett…",0,,False
1388524584224362503,2021-05-01 16:03:53+00:00,Share your plans with me using #CollegeSigningDay! Then join @BetterMakeRoom today at 2pm ET for our virtual celebr… https://t.co/4ifJr4hXtq,1867,MichelleObama,False
1388524575877648384,2021-05-01 16:03:51+00:00,Happy #CollegeSigningDay! I'm so excited to celebrate all of you who are taking this next step on your journeys and… https://t.co/xiCFtbXhmf,34960,,False
1387867145112113155,2021-04-29 20:31:27+00:00,I'm so proud of all the students who've made the commitment to pursue higher education. I know this school year has… https://t.co/gLZ57P4yL6,6486,,False
1385997624441024512,2021-04-24 16:42:38+00:00,"This #IndieBookstoreDay, I want to show some love to all the wonderful independent bookstores out there. I saw firs… https://t.co/SdDlPGhnqq",11784,,False
1385262181541896192,2021-04-22 16:00:15+00:00,"This #EarthDay, @GirlsAlliance, @MalalaFund, and @GirlRising are teaming up to spotlight five young women who are w… https://t.co/2cmR6zrowP",6340,,False
1384629081782857731,2021-04-20 22:04:32+00:00,"RT @BarackObama: Today, a jury did the right thing. But true justice requires much more. Michelle and I send our prayers to the Floyd famil…",0,,False
1384582950772264960,2021-04-20 19:01:14+00:00,State lawmakers are making it harder to register to vote and cast a ballot. I hope you’ll join me in urging the Sen… https://t.co/v7Fr1BonQB,8158,,False
1384221006047322118,2021-04-19 19:03:00+00:00,"We all want to be with our family and friends again, and the best way to make that happen is by getting the vaccine… https://t.co/nIKkvJ9FZn",8981,,False
1383186445234491402,2021-04-16 22:32:01+00:00,Barack and I started Higher Ground to give exciting new voices a platform to tell great stories. We're proud to sha… https://t.co/T3L8Ecxy2f,8060,,False
1382786275120455689,2021-04-15 20:01:53+00:00,I've loved seeing so many families get inspired to cook and try new recipes at home after watching Waffles + Mochi—… https://t.co/tSCvfbRGrs,4524,,False
1382356377050480645,2021-04-14 15:33:37+00:00,RT @BarackObama: Michelle and I are thrilled to be one step closer to bringing the Obama Presidential Center to the South Side of Chicago.…,0,,False
1381744165927673857,2021-04-12 23:00:55+00:00,RT @ScaryMommy: Michelle Obama talks #Becoming with the Scary Mommy Book Club! https://t.co/gqJxuQ5jEe,0,,False
1381254550498205702,2021-04-11 14:35:21+00:00,Happy #NationalPetDay to these two bundles of joy! Thanks for always making my day a little brighter – and for the … https://t.co/nYjT44dDlA,57380,,False
1380556485143433217,2021-04-09 16:21:30+00:00,"RT @BarackObama: Through his extraordinary example, His Royal Highness Prince Philip proved that true partnership has room for both ambitio…",0,,False
1380204242812669959,2021-04-08 17:01:49+00:00,"It’s been heartening to see so many parents and children reading Becoming, and that’s why I’m thrilled to be joinin… https://t.co/80qBKQxepa",3876,,False
1379545472814231555,2021-04-06 21:24:06+00:00,I know we all miss spending time with the ones we love––I’m personally looking forward to seeing my mom again and g… https://t.co/Pbc22Bj40l,8485,,False
1378083328377651203,2021-04-02 20:34:03+00:00,And please join us in raising funds to distribute meal kits to families facing food insecurity in communities aroun… https://t.co/MuoPFjOl0u,2757,MichelleObama,False
1378083326251139073,2021-04-02 20:34:03+00:00,Looking forward to joining the @PHAnews Virtual Summit to talk about the importance of food equity and our Pass the… https://t.co/TZ1wQJM5d8,3140,,False
1378061710825754628,2021-04-02 19:08:09+00:00,It was such a joy being able to reconnect and talk with some of the amazing young women at @EGA_School and… https://t.co/NfSkTHhZ9q,3837,,False
1376942581398011908,2021-03-30 17:01:08+00:00,"Even during a difficult year, the young people in the @ObamaFoundation’s Leaders: Europe program found ways to conn… https://t.co/VZOvlHcoV7",3864,,False
1376225089314770949,2021-03-28 17:30:04+00:00,"I hope watching Waffles + Mochi has inspired you to discover the wonder and joy of food, culture, and cooking toget… https://t.co/75RNuFnLsc",5640,,False
1375853992949989380,2021-03-27 16:55:28+00:00,I also hope you'll join me and @PHAnews in supporting our Pass the Love campaign by donating to provide meals for f… https://t.co/dFFNICuvxK,2843,MichelleObama,False
1375853949786464261,2021-03-27 16:55:18+00:00,"I hope you’ll tune-in today for What’s Cooking Tonight? — our Waffles + Mochi special! 

You’ll hear from some wond… https://t.co/k4qHZkaCRd",7211,,False
1375547594089320448,2021-03-26 20:37:57+00:00,RT @girlsalliance: Thanks to everyone who tuned in to the #PSGirlTalk special! If you’re feeling inspired to take action for girls’ educati…,0,,False
1375245401096343556,2021-03-26 00:37:09+00:00,"Join me in celebrating the power of girls around the world! @POPSUGAR’s “Girl Talk,” featuring the stories of the… https://t.co/mehh3cIfXf",3666,,False
1375156893648310282,2021-03-25 18:45:27+00:00,"Tonight’s the night! Join me for #PSGirlTalk, @POPSUGAR's big event dedicated to girls’ education and empowerment f… https://t.co/AXap2jWL54",3612,,False
1374768688444870666,2021-03-24 17:02:51+00:00,Can't get enough Waffles + Mochi? Good news! We're back for What’s Cooking Tonight? 🎉 It’s a fun not-so-late show w… https://t.co/lm1wt4RI2G,3674,,False
1374473013177937921,2021-03-23 21:27:57+00:00,"RT @jonasbrothers: Now is our chance to protect and strengthen our democracy and put power back where it belongs—with the people.

We’re pr…",0,,False
1374472942461939715,2021-03-23 21:27:40+00:00,"RT @shondarhimes: Standing with @MichelleObama and @WhenWeAllVote in urging the senate to pass the #ForThePeopleAct. Stand up, speak out, t…",0,,False
1374472876498161666,2021-03-23 21:27:24+00:00,"RT @selenagomez: Now is our chance to protect and strengthen our democracy and put power back where it belongs—with the people.

I'm proud…",0,,False
1374472570750214151,2021-03-23 21:26:11+00:00,RT @TraceeEllisRoss: Proud to stand with @MichelleObama &amp; @WhenWeAllVote to urge the Senate to pass the #ForThePeopleAct. With 200+ voter s…,0,,False
1374408378420633605,2021-03-23 17:11:07+00:00,"The #ForThePeopleAct is a chance to reaffirm that in America, the power rests with the people. It’s our best chance… https://t.co/fQAuww84bN",20763,MichelleObama,False
1374408370141097990,2021-03-23 17:11:05+00:00,"I’m heartbroken by these recent tragedies of gun violence, and I just keep thinking about all the leaders who won’t… https://t.co/BbRlwTbb5g",162588,,False
1374394325086265355,2021-03-23 16:15:16+00:00,RT @BarackObama: A once-in-a-century pandemic cannot be the only thing that slows mass shootings in this country. It’s time for leaders eve…,0,,False
1374096281681985542,2021-03-22 20:30:57+00:00,"If you’re watching Waffles + Mochi, I hope you’ve seen that you don’t have to be a world-class chef to make somethi… https://t.co/ggrNoJVvKc",6259,,False
1373018460486242306,2021-03-19 21:08:05+00:00,Waffles and I have been spending so much time together that we’re basically finishing each other’s sentences! Take… https://t.co/IDzwqwZ9lx,5453,,False
1372963909024546817,2021-03-19 17:31:19+00:00,"Growing up, my mom gave my brother @CraigMalRob and I the space to ask questions, always treating us with respect a… https://t.co/3ArSxvG4lF",6823,,False
1372960534488870917,2021-03-19 17:17:54+00:00,RT @BarackObama: .@POTUS set a goal to deliver 100 million vaccine shots in 100 days. His administration hit the milestone in just 58. Let’…,0,,False
1372337897433665536,2021-03-18 00:03:46+00:00,"RT @BarackObama: Even as we’ve battled the pandemic, we’ve continued to neglect the longer-lasting epidemic of gun violence in America. Alt…",0,,False
1372264171379822594,2021-03-17 19:10:48+00:00,We’ve all seen the lines at food banks and heard about those struggling to put food on the table during the pandemi… https://t.co/c8Y0B58ocu,5578,,False
1371940816541921280,2021-03-16 21:45:54+00:00,Thank you to all of our partners for their support of our Pass the Love campaign with @PHAnews. Join us by donating… https://t.co/fwoedwj6Rc,2495,,False
1371793507728429069,2021-03-16 12:00:33+00:00,I’m also proud that we’re working with @PHAnews to address food insecurity and help provide more than one million m… https://t.co/bvS84lbspt,3493,MichelleObama,False
1371793420386197512,2021-03-16 12:00:12+00:00,Waffles + Mochi is now streaming on Netflix! If you’ve got little ones or just want to laugh and learn a little abo… https://t.co/IaxF9YpoGe,11607,,False
1371615402455920644,2021-03-16 00:12:49+00:00,And congrats to @TaylorSwift13 on her record-breaking third #GRAMMYs win for Album of the Year! I'm so proud of all… https://t.co/c4oPcYmMkS,56459,MichelleObama,False
1371615401482858497,2021-03-16 00:12:49+00:00,"So amazed by @Beyonce and her record-breaking 28 #GRAMMYs wins! Congrats, Queen Bey—album after album, your music c… https://t.co/vnBwfZfVfT",53304,,False
1371585919820689409,2021-03-15 22:15:40+00:00,"RT @BarackObama: Congrats to directors @NicoleNewnham, @JimLeBrecht, and everyone with @CripCampFilm on the Oscar nomination! The heart, pa…",0,,False
1370478726975197185,2021-03-12 20:56:05+00:00,One of my favorite parts about sharing my story in Becoming has been having such wonderful conversations with so ma… https://t.co/P2hkU8dJ2N,9876,,False
1370035269068587011,2021-03-11 15:33:56+00:00,"RT @BarackObama: Michelle and I got vaccinated against COVID-19 because we know it’s the best way to beat this pandemic, protect one anothe…",0,,False
1370035216539131904,2021-03-11 15:33:44+00:00,"When you can get the COVID-19 vaccine, I hope you do—Barack and I are certainly glad we did. It’s our best shot at… https://t.co/KdrbErRFuc",115714,,False
1369655334248316933,2021-03-10 14:24:13+00:00,RT @PHAnews: The pandemic has made it harder to put good food on the table. Pass the Love will bring the joy of food and cooking to your fa…,0,,False
1369649269079171078,2021-03-10 14:00:07+00:00,"So excited that Waffles + Mochi comes out on Netflix next week—and in collaboration with @PHAnews, our Pass the Lov… https://t.co/sZ8llVxWe3",5438,,False
