Latitude,Longitude
40.73591,-73.85831
40.74381,-73.97659
40.68382,-73.97727
40.74678,-73.96924
40.76263,-73.97316
40.75298,-73.99534
40.68511,-73.97822
40.71579,-73.8263
40.74292,-73.98698
40.7279,-74.00545
40.67739,-73.80299
40.70933,-74.00595
40.74178,-73.84205
40.7547,-73.96865
40.76164,-73.9351
40.75026,-73.97915
40.71917,-73.99047
40.75964,-73.8559
40.7303,-74.01045
40.78543,-73.98402
40.76258,-73.98589
40.82486,-73.94668
40.74743,-73.96761
40.78895,-73.96669
40.70626,-74.01462
40.75609,-73.96763
40.72648,-73.94913
40.72489,-73.97516
40.67188,-73.99867
40.73512,-73.98018
40.81482,-73.96426
40.74556,-73.98253
40.87134,-73.90685
40.73961,-73.99445
40.72515,-73.99021
40.7593,-73.99571
40.70176,-74.01029
40.80371,-73.97217
40.71584,-73.99593
40.71288,-73.9939
40.80187,-73.9307
40.69559,-74.01364
40.76011,-73.95927
40.69222,-73.97268
40.74686,-73.97112
40.73395,-73.98672
40.76184,-74.00122
40.71701,-74.00633
40.76984,-73.98222
40.75622,-73.96781
40.78052,-73.98781
40.76154,-73.95544
40.71224,-73.97794
40.73656,-73.97778
40.75394,-73.99219
40.64682,-73.80155
40.74884,-73.91305
40.7305,-74.00459
40.74479,-73.97588
40.76518,-73.96395
40.76704,-73.96792
40.6786,-73.99996
40.74319,-73.99633
40.73189,-73.91855
40.76088,-73.97972
40.70026,-74.01541
40.76847,-73.91347
40.77254,-73.90911
40.76596,-73.95735
40.81656,-73.963
40.76811,-73.97045
40.73029,-73.91317
40.76151,-73.98814
40.71987,-73.98661
40.78701,-73.97552
40.76961,-73.94843
40.73765,-73.9764
40.69117,-73.98218
40.74158,-73.94971
40.76461,-73.95246
40.76286,-73.96967
40.7373,-73.93348
40.73698,-73.9319
40.81856,-73.92473
40.78954,-73.96996
40.76378,-73.98131
40.7623,-73.98985
40.76935,-73.99479
40.7477,-74.00419
40.78391,-73.94622
40.74656,-73.98012
40.5831,-73.9819
40.72843,-73.83945
40.75306,-73.92153
40.75984,-74.00273
40.71967,-73.98764
40.72249,-73.97441
40.74277,-73.94915
40.72544,-73.9726
40.74771,-73.98077
40.78687,-73.92927
40.7211,-73.99632
40.73218,-74.00412
40.84886,-73.9402
40.81735,-73.9622
40.74137,-73.99393
40.70202,-73.81606
40.7902,-73.9695
40.7453,-73.97918
40.72646,-73.99571
40.75035,-73.97344
40.71599,-73.98046
40.7511,-74.00168
40.76813,-73.98406
40.74389,-74.00327
40.71957,-74.00175
40.76597,-73.95125
